This log is trained by origin dataloader and fine-tune on model-35000.
I want to test the training speed for 1 epoch using origin dataloader!!


2018-12-03 00:36:26.519396: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-12-03 00:36:27.401521: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: TITAN Xp major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:87:00.0
totalMemory: 11.90GiB freeMemory: 11.57GiB
2018-12-03 00:36:27.401598: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: TITAN Xp, pci bus id: 0000:87:00.0, compute capability: 6.1)
build encoder
build decoder
loading model parameters from given model path and name
17898.25 286372
12.03-02:20:17, Global step=1180, lr=0.0005, loss=2.2787970304489136, loss2=700.6253662109375
12.03-02:30:23, Global step=1200, lr=0.0005, loss=2.3461653530597686, loss2=876.9656982421875
12.03-02:38:56, Global step=1220, lr=0.0005, loss=2.2053236603736877, loss2=564.8970947265625
12.03-02:45:48, Global step=1240, lr=0.0005, loss=2.2866658329963685, loss2=515.17431640625
12.03-02:52:06, Global step=1260, lr=0.0005, loss=2.402790355682373, loss2=630.9321899414062
12.03-02:59:53, Global step=1280, lr=0.0005, loss=2.3271933436393737, loss2=680.3221435546875
12.03-03:09:41, Global step=1300, lr=0.0005, loss=2.5372256457805635, loss2=737.196044921875
12.03-03:19:00, Global step=1320, lr=0.0005, loss=2.2085683345794678, loss2=708.98779296875
12.03-03:29:16, Global step=1340, lr=0.0005, loss=2.4323269426822662, loss2=416.3807678222656
12.03-03:36:45, Global step=1360, lr=0.0005, loss=2.268069404363632, loss2=636.8060302734375
12.03-03:43:43, Global step=1380, lr=0.0005, loss=2.3824246287345887, loss2=773.3438720703125
12.03-03:47:42, Global step=1400, lr=0.0005, loss=2.332525634765625, loss2=877.302001953125
12.03-03:51:21, Global step=1420, lr=0.0005, loss=2.309534823894501, loss2=731.47119140625
12.03-04:00:49, Global step=1440, lr=0.0005, loss=2.280200171470642, loss2=619.2317504882812
12.03-04:11:34, Global step=1460, lr=0.0005, loss=2.337874472141266, loss2=632.8805541992188
12.03-04:20:24, Global step=1480, lr=0.0005, loss=2.3184356451034547, loss2=550.7982788085938
12.03-04:31:00, Global step=1500, lr=0.0005, loss=2.2960705935955046, loss2=789.6444702148438
12.03-04:41:10, Global step=1520, lr=0.0005, loss=2.342165285348892, loss2=718.9411010742188
12.03-04:47:20, Global step=1540, lr=0.0005, loss=2.3660070300102234, loss2=423.6377258300781
12.03-04:48:11, Global step=1560, lr=0.0005, loss=2.310467594861984, loss2=693.975341796875
12.03-04:48:55, Global step=1580, lr=0.0005, loss=2.25514377951622, loss2=583.6632690429688
12.03-04:49:39, Global step=1600, lr=0.0005, loss=2.2599474668502806, loss2=749.431396484375
12.03-04:50:25, Global step=1620, lr=0.0005, loss=2.2485761284828185, loss2=525.0774536132812
12.03-04:51:40, Global step=1640, lr=0.0005, loss=2.4060640394687653, loss2=869.1456298828125
12.03-04:52:26, Global step=1660, lr=0.0005, loss=2.2576498806476595, loss2=802.2540283203125
12.03-04:53:14, Global step=1680, lr=0.0005, loss=2.3354163587093355, loss2=659.823486328125
12.03-04:53:58, Global step=1700, lr=0.0005, loss=2.3283495247364043, loss2=737.3049926757812
12.03-04:54:44, Global step=1720, lr=0.0005, loss=2.463279438018799, loss2=628.0384521484375
12.03-04:55:28, Global step=1740, lr=0.0005, loss=2.191554343700409, loss2=621.8497314453125
12.03-04:56:13, Global step=1760, lr=0.0005, loss=2.1962776362895964, loss2=586.3161010742188
12.03-04:56:59, Global step=1780, lr=0.0005, loss=2.1813294529914855, loss2=918.1275634765625
12.03-04:59:28, Global step=1800, lr=0.0005, loss=2.4970502614974976, loss2=912.6768188476562
12.03-05:04:01, Global step=1820, lr=0.0005, loss=2.256654441356659, loss2=781.682373046875
12.03-05:07:32, Global step=1840, lr=0.0005, loss=2.2056636691093443, loss2=578.99658203125
12.03-05:11:43, Global step=1860, lr=0.0005, loss=2.235397386550903, loss2=500.4083251953125
12.03-05:12:41, Global step=1880, lr=0.0005, loss=2.319585293531418, loss2=753.0797729492188
12.03-05:13:25, Global step=1900, lr=0.0005, loss=2.3096722602844237, loss2=648.1292724609375
12.03-05:14:09, Global step=1920, lr=0.0005, loss=2.259250193834305, loss2=754.5985717773438
12.03-05:14:53, Global step=1940, lr=0.0005, loss=2.257629984617233, loss2=752.969482421875
12.03-05:15:37, Global step=1960, lr=0.0005, loss=2.291582477092743, loss2=633.614013671875
12.03-05:16:23, Global step=1980, lr=0.0005, loss=2.2694655895233153, loss2=732.7439575195312
12.03-05:17:08, Global step=2000, lr=0.0005, loss=2.3970071017742156, loss2=812.9930419921875
12.03-05:17:52, Global step=2020, lr=0.0005, loss=2.311851143836975, loss2=744.0609130859375
12.03-05:18:36, Global step=2040, lr=0.0005, loss=2.400158476829529, loss2=561.463134765625
12.03-05:19:20, Global step=2060, lr=0.0005, loss=2.2692241966724396, loss2=584.8253173828125
12.03-05:20:05, Global step=2080, lr=0.0005, loss=2.232937973737717, loss2=721.1812744140625
12.03-05:20:50, Global step=2100, lr=0.0005, loss=2.287679708003998, loss2=804.2603759765625
12.03-05:21:33, Global step=2120, lr=0.0005, loss=2.261148691177368, loss2=1045.5516357421875
12.03-05:22:19, Global step=2140, lr=0.0005, loss=2.401938724517822, loss2=927.3489379882812
12.03-05:23:04, Global step=2160, lr=0.0005, loss=2.191297781467438, loss2=782.7832641601562
12.03-05:23:48, Global step=2180, lr=0.0005, loss=2.158144235610962, loss2=611.9031982421875
12.03-05:24:33, Global step=2200, lr=0.0005, loss=2.217429381608963, loss2=629.124755859375
12.03-05:25:23, Global step=2220, lr=0.0005, loss=2.3074653804302216, loss2=832.8765258789062
12.03-05:26:09, Global step=2240, lr=0.0005, loss=2.217819392681122, loss2=485.09283447265625
12.03-05:26:56, Global step=2260, lr=0.0005, loss=2.3255433797836305, loss2=1076.2314453125
12.03-05:27:39, Global step=2280, lr=0.0005, loss=2.140355771780014, loss2=663.5015869140625
12.03-05:28:23, Global step=2300, lr=0.0005, loss=2.2717462718486785, loss2=573.596435546875
12.03-05:29:10, Global step=2320, lr=0.0005, loss=2.2732917785644533, loss2=541.5924682617188
12.03-05:31:49, Global step=2340, lr=0.0005, loss=2.374595808982849, loss2=674.8990478515625
12.03-05:32:52, Global step=2360, lr=0.0005, loss=2.3710988640785216, loss2=810.8580932617188
12.03-05:33:41, Global step=2380, lr=0.0005, loss=2.320874238014221, loss2=581.0462646484375
12.03-05:36:06, Global step=2400, lr=0.0005, loss=2.2628893315792085, loss2=672.3297119140625
12.03-05:40:08, Global step=2420, lr=0.0005, loss=2.377524995803833, loss2=787.8986206054688
12.03-05:42:50, Global step=2440, lr=0.0005, loss=2.1695094287395476, loss2=537.3058471679688
12.03-05:45:03, Global step=2460, lr=0.0005, loss=2.300987738370895, loss2=807.490234375
12.03-05:45:47, Global step=2480, lr=0.0005, loss=2.391561359167099, loss2=638.3896484375
12.03-05:46:32, Global step=2500, lr=0.0005, loss=2.271240085363388, loss2=565.9462890625
12.03-05:47:15, Global step=2520, lr=0.0005, loss=2.1975539863109588, loss2=958.1279296875
12.03-05:47:59, Global step=2540, lr=0.0005, loss=2.3252249002456664, loss2=630.1542358398438
12.03-05:48:44, Global step=2560, lr=0.0005, loss=2.066623646020889, loss2=755.039306640625
12.03-05:49:28, Global step=2580, lr=0.0005, loss=2.3083781957626344, loss2=713.8170776367188
12.03-05:50:21, Global step=2600, lr=0.0005, loss=2.3118414878845215, loss2=645.06787109375
12.03-05:51:09, Global step=2620, lr=0.0005, loss=2.2251958668231966, loss2=606.1156005859375
12.03-05:52:39, Global step=2640, lr=0.0005, loss=2.2855335652828215, loss2=714.6942138671875
12.03-05:53:31, Global step=2660, lr=0.0005, loss=2.3187864243984224, loss2=685.9210205078125
12.03-05:54:50, Global step=2680, lr=0.0005, loss=2.190727525949478, loss2=537.3795166015625
12.03-05:57:48, Global step=2700, lr=0.0005, loss=2.3291877090930937, loss2=719.9207763671875
12.03-05:58:49, Global step=2720, lr=0.0005, loss=2.391087222099304, loss2=844.07958984375
12.03-05:59:52, Global step=2740, lr=0.0005, loss=2.2986473858356478, loss2=612.25
12.03-06:01:33, Global step=2760, lr=0.0005, loss=2.3706109166145324, loss2=738.4632568359375
12.03-06:02:49, Global step=2780, lr=0.0005, loss=2.1669450223445894, loss2=664.8539428710938
12.03-06:03:33, Global step=2800, lr=0.0005, loss=2.2798042953014375, loss2=778.2784423828125
12.03-06:04:17, Global step=2820, lr=0.0005, loss=2.2900475382804872, loss2=751.8013916015625
12.03-06:05:01, Global step=2840, lr=0.0005, loss=2.2961165726184847, loss2=846.7891845703125
12.03-06:05:46, Global step=2860, lr=0.0005, loss=2.31126646399498, loss2=692.7501220703125
12.03-06:06:30, Global step=2880, lr=0.0005, loss=2.19282323718071, loss2=576.3980102539062
12.03-06:07:19, Global step=2900, lr=0.0005, loss=2.487858247756958, loss2=828.9226684570312
12.03-06:08:16, Global step=2920, lr=0.0005, loss=2.1210962891578675, loss2=512.7742919921875
12.03-06:09:07, Global step=2940, lr=0.0005, loss=2.2644311666488646, loss2=802.5599365234375
12.03-06:10:09, Global step=2960, lr=0.0005, loss=2.304995673894882, loss2=696.6712646484375
12.03-06:12:17, Global step=2980, lr=0.0005, loss=2.205593556165695, loss2=702.79736328125
12.03-06:13:59, Global step=3000, lr=0.0005, loss=2.205837976932526, loss2=911.6273803710938
12.03-06:16:24, Global step=3020, lr=0.0005, loss=2.125235843658447, loss2=917.8037719726562
12.03-06:18:14, Global step=3040, lr=0.0005, loss=2.185274577140808, loss2=463.9939270019531
12.03-06:19:34, Global step=3060, lr=0.0005, loss=2.304957765340805, loss2=636.669189453125
12.03-06:21:08, Global step=3080, lr=0.0005, loss=2.196911108493805, loss2=504.43218994140625
12.03-06:23:47, Global step=3100, lr=0.0005, loss=2.3450572371482847, loss2=545.831787109375
12.03-06:25:11, Global step=3120, lr=0.0005, loss=2.1735981106758118, loss2=559.8157958984375
12.03-06:26:20, Global step=3140, lr=0.0005, loss=2.1700150430202485, loss2=857.4827270507812
12.03-06:30:38, Global step=3160, lr=0.0005, loss=2.2539966225624086, loss2=585.0244750976562
12.03-06:32:20, Global step=3180, lr=0.0005, loss=2.3585605382919312, loss2=945.7539672851562
12.03-06:33:04, Global step=3200, lr=0.0005, loss=2.2453349232673645, loss2=736.7457275390625
12.03-06:33:47, Global step=3220, lr=0.0005, loss=2.2117412388324738, loss2=840.354248046875
12.03-06:34:32, Global step=3240, lr=0.0005, loss=2.2774007856845855, loss2=854.8861083984375
12.03-06:35:15, Global step=3260, lr=0.0005, loss=2.2230314016342163, loss2=618.5513916015625
12.03-06:36:01, Global step=3280, lr=0.0005, loss=2.265083146095276, loss2=811.156494140625
12.03-06:36:45, Global step=3300, lr=0.0005, loss=2.2016027867794037, loss2=916.523193359375
12.03-06:37:29, Global step=3320, lr=0.0005, loss=2.1151040315628054, loss2=662.9521484375
12.03-06:38:14, Global step=3340, lr=0.0005, loss=2.26523043513298, loss2=819.8936767578125
12.03-06:38:58, Global step=3360, lr=0.0005, loss=2.2591214299201967, loss2=936.7056884765625
12.03-06:39:44, Global step=3380, lr=0.0005, loss=2.3777995884418486, loss2=673.9775390625
12.03-06:40:28, Global step=3400, lr=0.0005, loss=2.348504990339279, loss2=768.2305908203125
12.03-06:41:13, Global step=3420, lr=0.0005, loss=2.1828401505947115, loss2=542.4170532226562
12.03-06:42:01, Global step=3440, lr=0.0005, loss=2.291044318675995, loss2=759.241455078125
12.03-06:43:14, Global step=3460, lr=0.0005, loss=2.323099935054779, loss2=886.186767578125
12.03-06:44:39, Global step=3480, lr=0.0005, loss=2.239042544364929, loss2=864.7861328125
12.03-06:46:12, Global step=3500, lr=0.0005, loss=2.255399650335312, loss2=668.88525390625
12.03-06:50:12, Global step=3520, lr=0.0005, loss=2.194007474184036, loss2=909.7189331054688
12.03-06:51:48, Global step=3540, lr=0.0005, loss=2.2858928740024567, loss2=1032.533447265625
12.03-06:52:59, Global step=3560, lr=0.0005, loss=2.2113682687282563, loss2=372.3783874511719
12.03-06:54:24, Global step=3580, lr=0.0005, loss=2.2278437316417694, loss2=482.56793212890625
12.03-06:56:56, Global step=3600, lr=0.0005, loss=2.273654180765152, loss2=691.786376953125
12.03-06:58:48, Global step=3620, lr=0.0005, loss=2.251400625705719, loss2=760.959716796875
12.03-07:01:23, Global step=3640, lr=0.0005, loss=2.3181305646896364, loss2=769.9362182617188
12.03-07:04:30, Global step=3660, lr=0.0005, loss=2.2896568894386293, loss2=832.6746826171875
12.03-07:07:06, Global step=3680, lr=0.0005, loss=2.2479687452316286, loss2=658.9713745117188
12.03-07:09:10, Global step=3700, lr=0.0005, loss=2.3146819353103636, loss2=578.0745849609375
12.03-07:09:55, Global step=3720, lr=0.0005, loss=2.321727079153061, loss2=593.9679565429688
12.03-07:10:39, Global step=3740, lr=0.0005, loss=2.0262002527713774, loss2=501.15460205078125
12.03-07:11:24, Global step=3760, lr=0.0005, loss=2.1176529943943025, loss2=558.137939453125
12.03-07:12:08, Global step=3780, lr=0.0005, loss=2.306573140621185, loss2=646.377685546875
12.03-07:12:53, Global step=3800, lr=0.0005, loss=2.453375220298767, loss2=928.75634765625
12.03-07:13:37, Global step=3820, lr=0.0005, loss=2.2969952285289765, loss2=780.10888671875
12.03-07:14:31, Global step=3840, lr=0.0005, loss=2.1652003645896913, loss2=670.8229370117188
12.03-07:16:03, Global step=3860, lr=0.0005, loss=2.17018546462059, loss2=632.9373779296875
12.03-07:17:02, Global step=3880, lr=0.0005, loss=2.183482068777084, loss2=492.28076171875
12.03-07:19:10, Global step=3900, lr=0.0005, loss=2.25450856089592, loss2=622.1358032226562
12.03-07:21:07, Global step=3920, lr=0.0005, loss=2.2009171426296232, loss2=632.830810546875
12.03-07:23:37, Global step=3940, lr=0.0005, loss=2.2589834094047547, loss2=575.522705078125
12.03-07:25:34, Global step=3960, lr=0.0005, loss=2.242289274930954, loss2=555.3190307617188
12.03-07:27:39, Global step=3980, lr=0.0005, loss=2.2313223004341127, loss2=595.8370971679688
12.03-07:30:33, Global step=4000, lr=0.0005, loss=2.204843932390213, loss2=835.67041015625
12.03-07:34:10, Global step=4020, lr=0.0005, loss=2.1463020622730253, loss2=621.8965454101562
12.03-07:36:56, Global step=4040, lr=0.0005, loss=2.1938100159168243, loss2=574.8889770507812
12.03-07:38:58, Global step=4060, lr=0.0005, loss=2.219381034374237, loss2=493.4754638671875
12.03-07:40:13, Global step=4080, lr=0.0005, loss=2.2211869597434997, loss2=559.262939453125
12.03-07:41:01, Global step=4100, lr=0.0005, loss=2.1833464086055754, loss2=561.5498046875
12.03-07:42:57, Global step=4120, lr=0.0005, loss=2.175034201145172, loss2=588.00048828125
12.03-07:44:20, Global step=4140, lr=0.0005, loss=2.233255237340927, loss2=510.5531921386719
12.03-07:45:56, Global step=4160, lr=0.0005, loss=2.296697235107422, loss2=884.6087646484375
12.03-07:47:58, Global step=4180, lr=0.0005, loss=2.1968458116054537, loss2=763.745361328125
12.03-07:48:56, Global step=4200, lr=0.0005, loss=2.2156998753547668, loss2=856.929443359375
12.03-07:49:44, Global step=4220, lr=0.0005, loss=2.1851933002471924, loss2=524.5152587890625
12.03-07:52:24, Global step=4240, lr=0.0005, loss=2.3114151775836946, loss2=573.8546142578125
12.03-07:54:46, Global step=4260, lr=0.0005, loss=2.1195899069309236, loss2=690.3082275390625
12.03-07:56:54, Global step=4280, lr=0.0005, loss=2.2325680255889893, loss2=794.953369140625
12.03-07:59:15, Global step=4300, lr=0.0005, loss=2.2911999762058257, loss2=657.9458618164062
12.03-08:00:24, Global step=4320, lr=0.0005, loss=2.2911327362060545, loss2=602.7103271484375
12.03-08:01:20, Global step=4340, lr=0.0005, loss=2.2474547564983367, loss2=937.1732788085938
12.03-08:02:13, Global step=4360, lr=0.0005, loss=2.258147883415222, loss2=668.98291015625
12.03-08:03:23, Global step=4380, lr=0.0005, loss=2.2252541303634645, loss2=747.0194702148438
12.03-08:04:58, Global step=4400, lr=0.0005, loss=2.2570930898189543, loss2=621.34423828125
12.03-08:07:26, Global step=4420, lr=0.0005, loss=2.1672358095645903, loss2=600.8492431640625
12.03-08:09:49, Global step=4440, lr=0.0005, loss=2.0573077619075777, loss2=496.1239929199219
12.03-08:11:58, Global step=4460, lr=0.0005, loss=2.2376615047454833, loss2=751.7485961914062
12.03-08:14:29, Global step=4480, lr=0.0005, loss=2.2058312833309173, loss2=725.947509765625
12.03-08:16:41, Global step=4500, lr=0.0005, loss=2.088298946619034, loss2=496.480712890625
12.03-08:18:14, Global step=4520, lr=0.0005, loss=2.1396096646785736, loss2=876.2837524414062
12.03-08:20:17, Global step=4540, lr=0.0005, loss=2.1296038568019866, loss2=717.062744140625
12.03-08:23:14, Global step=4560, lr=0.0005, loss=2.1432287275791166, loss2=652.4028930664062
12.03-08:24:51, Global step=4580, lr=0.0005, loss=2.1795397639274596, loss2=754.6583251953125
12.03-08:25:48, Global step=4600, lr=0.0005, loss=2.2362158954143525, loss2=612.8060302734375
12.03-08:27:09, Global step=4620, lr=0.0005, loss=2.3207175612449644, loss2=931.6453857421875
12.03-08:28:51, Global step=4640, lr=0.0005, loss=2.230429697036743, loss2=712.0340576171875
12.03-08:30:33, Global step=4660, lr=0.0005, loss=2.160774052143097, loss2=743.1962890625
12.03-08:32:06, Global step=4680, lr=0.0005, loss=2.3417952418327332, loss2=614.1912231445312
12.03-08:33:11, Global step=4700, lr=0.0005, loss=2.191870367527008, loss2=494.264892578125
12.03-08:34:41, Global step=4720, lr=0.0005, loss=2.1284081757068636, loss2=574.8023681640625
12.03-08:36:34, Global step=4740, lr=0.0005, loss=2.312602961063385, loss2=761.9879760742188
12.03-08:38:04, Global step=4760, lr=0.0005, loss=2.3521692752838135, loss2=622.061279296875
12.03-08:39:25, Global step=4780, lr=0.0005, loss=2.459508955478668, loss2=906.529296875
12.03-08:40:46, Global step=4800, lr=0.0005, loss=2.1114511847496034, loss2=889.2616577148438
12.03-08:42:20, Global step=4820, lr=0.0005, loss=2.218177330493927, loss2=1260.3406982421875
12.03-08:43:18, Global step=4840, lr=0.0005, loss=2.1145325899124146, loss2=744.68017578125
12.03-08:44:17, Global step=4860, lr=0.0005, loss=2.2093746840953825, loss2=616.5869750976562
12.03-08:45:26, Global step=4880, lr=0.0005, loss=2.288237875699997, loss2=655.3662719726562
12.03-08:46:18, Global step=4900, lr=0.0005, loss=2.221522498130798, loss2=617.6493530273438
12.03-08:47:05, Global step=4920, lr=0.0005, loss=2.3304334402084352, loss2=998.902587890625
12.03-08:47:49, Global step=4940, lr=0.0005, loss=2.147869575023651, loss2=514.6947021484375
12.03-08:48:38, Global step=4960, lr=0.0005, loss=2.0688483715057373, loss2=604.37109375
12.03-08:49:30, Global step=4980, lr=0.0005, loss=2.181355756521225, loss2=566.0206298828125
12.03-08:50:27, Global step=5000, lr=0.0005, loss=2.2166578650474547, loss2=712.949462890625
saving model checkpoint to path
12.03-08:51:22, Global step=5020, lr=0.0005, loss=2.308691865205765, loss2=842.2385864257812
12.03-08:52:13, Global step=5040, lr=0.0005, loss=2.1944646179676055, loss2=635.8825073242188
12.03-08:53:02, Global step=5060, lr=0.0005, loss=2.261365085840225, loss2=953.3558349609375
12.03-08:53:47, Global step=5080, lr=0.0005, loss=2.1291491806507112, loss2=750.2478637695312
12.03-08:54:31, Global step=5100, lr=0.0005, loss=2.0957685589790342, loss2=717.9044189453125
12.03-08:55:14, Global step=5120, lr=0.0005, loss=2.1447501718997954, loss2=743.2947998046875
12.03-08:55:59, Global step=5140, lr=0.0005, loss=2.303668773174286, loss2=719.10693359375
12.03-08:56:42, Global step=5160, lr=0.0005, loss=2.22275573015213, loss2=678.95458984375
12.03-08:57:28, Global step=5180, lr=0.0005, loss=2.214525055885315, loss2=782.759033203125
12.03-08:59:37, Global step=5200, lr=0.0005, loss=2.1805827796459196, loss2=698.1673583984375
12.03-09:02:35, Global step=5220, lr=0.0005, loss=2.0310887336730956, loss2=848.6817626953125
12.03-09:05:03, Global step=5240, lr=0.0005, loss=2.2353042781353, loss2=687.5062255859375
12.03-09:07:50, Global step=5260, lr=0.0005, loss=2.1644180536270143, loss2=568.1845092773438
12.03-09:09:19, Global step=5280, lr=0.0005, loss=2.1536883652210235, loss2=361.654052734375
12.03-09:12:30, Global step=5300, lr=0.0005, loss=2.219827401638031, loss2=949.2306518554688
12.03-09:14:27, Global step=5320, lr=0.0005, loss=2.2307664096355437, loss2=873.9483032226562
12.03-09:15:27, Global step=5340, lr=0.0005, loss=2.155675435066223, loss2=802.9315185546875
12.03-09:16:23, Global step=5360, lr=0.0005, loss=2.203156864643097, loss2=561.7861328125
12.03-09:17:14, Global step=5380, lr=0.0005, loss=2.2642008900642394, loss2=555.9859008789062
12.03-09:18:06, Global step=5400, lr=0.0005, loss=2.145750403404236, loss2=1022.4153442382812
12.03-09:19:32, Global step=5420, lr=0.0005, loss=2.2149281203746796, loss2=723.7874755859375
12.03-09:21:50, Global step=5440, lr=0.0005, loss=2.094339334964752, loss2=923.1865234375
12.03-09:23:25, Global step=5460, lr=0.0005, loss=2.291680121421814, loss2=682.46875
